logged_at,date,session_id,session_short,title,task_slug,summary,status,phase,tags,branch,head_commit,commits,files_touched,next_steps,entry_md,transcript_path,logged_by
2026-08-10T16:23:43,2026-08-10,3ebc088a-9af6-49c0-8d91-4f494c430d98,3ebc088a,NC replication run + bundle-vs-rationale-class fix to the extraction prompt,nc-replication-and-bundle-semantics,"Replicated the NC extraction (11 docs, run 2) against the 2026-07-21 run 1 — criterion 283/284, action 284/284 — and confirmed against the live FNA site that NC has no post-FY2016 documents in either stream. Then rewrote the group-splitting instruction so groups[] is the evaluated SET rather than a shared-rationale class, reasoning from the rule and the arithmetic instead of phrase-matching; verified the ND/WI gold sheets already use this convention.",wip,Phase 3,abawd;fna;extraction;prompt-engineering;replication;schema;nc,fna_rebuild,7a72b12,cce8239;7a72b12,.gitignore;1_data/10_raw/102_fna/1022_extractions/claude/**;1_data/10_raw/102_fna/1022_extractions/claude_run2/**;2_scripts/22_extract/222_fna_waivers/2220b_extraction_prompt.txt;2_scripts/22_extract/222_fna_waivers/2220c_schema.json;2_scripts/22_extract/222_fna_waivers/fna_extraction_results.py;.claude/settings.json;.worklog/**,"Run the revised prompt against WI+NC in a fresh session and diff vs the cce8239 baseline (watch NC FY2002 -> 8 singleton groups, FY2004-a -> 37, FY2007 -> ~8 sub-region groups). Fix the ledger so replicate runs are recordable (run_id is spec-derived and collides). Do NOT collate the baseline JSONs against the new schema. Add FIPS county-name validation + programmatic contiguity check. Verify the NC S.L. 2015-241 waiver-ban hypothesis.",.worklog/entries/2026-08-10_nc-replication-and-bundle-semantics_3ebc088a.md,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/3ebc088a-9af6-49c0-8d91-4f494c430d98.jsonl,skill
2026-08-11T23:30:11,2026-08-11,378db041-5f78-4f6c-9289-7c30cd655e00,378db041,(unlogged -- auto-captured on clear),,[Request interrupted by user] | pause | Please resume,unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/378db041-5f78-4f6c-9289-7c30cd655e00.jsonl,hook-auto
2026-08-11T23:34:42,2026-08-11,b12a1aeb-fa9e-4a44-beea-39622e34280d,b12a1aeb,(unlogged -- auto-captured on clear),,Please re-commit and reconcile any conflicts so that I can test and evaluate the addition of this counties contextual information against the GOLD hand--collected extractions | Please summarize for me any typos you think exist in the GOLD WI and ND extractions | Okay. I think i've manually cleaned up the hand-generated errors in the the @WI-hand-collected.xlsx and @ND-hand-collected.xlsx files. Please clean up again and get reaady for me to run a future eval with the new county ,unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/b12a1aeb-fa9e-4a44-beea-39622e34280d.jsonl,hook-auto
2026-08-12T14:13:11,2026-08-12,07897f20-64ad-4328-86b7-248c0674d9ef,07897f20,Geo-context extraction arm scored vs WI gold — no unit-level effect; blinding rule added; run histories wiped,geo-context-eval-and-blinding,"Ran the geo-aware v1_3 arm (904ee8fa, sonnet) over all 20 WI response PDFs and scored it against the cleaned WI gold with the pre-geo 01dc7c84 arm as control: no unit-level effect (name 294/298, action 98.0%, criterion 99.5% in BOTH arms), and bundling identical on 20/20 documents — the geography reference buys assurance and auditability, not different answers. Caught 2/20 agents reconciling against gold/the control arm, so added a mandatory blinding rule to the prompt itself, settled federal-suspension coding as a general rule over the ARRA and FFCRA windows (SPEC BUMP 904ee8fa -> 3c73108d), and deleted all prior run outputs from the working tree.",complete,Phase 3,abawd;fna;extraction;geo-context;evaluation;blinding;prompt-engineering;wi-gold,master,de73df7,0a890a2;75f4a89;8a2dbe5;de73df7,1_data/10_raw/102_fna/1022_extractions/claude_v1_3_geo/**;2_scripts/22_extract/222_fna_waivers/2220b_extraction_prompt.txt;2_scripts/22_extract/222_fna_waivers/2222_extract_claude_protocol.md;.worklog/**,"Run the v1_4 prompt (3c73108d) clean on WI in a fresh session — it has never been executed, so the blinding and federal-suspension sections are untested; expect FY2009 to move to Wisconsin/statewide/approved. Fix 2225's name comparison to score against orig_text (or either field) so v1_3 canonicalization stops reading as error (Sokagoan, Ho-Chunk Nation, ...Community suffixes). Run ND (65d0f1db) — the only remaining name-channel headroom (pembia FY1998, rollette FY2014). Settle the Menominee County vs Reservation double-counting convention. Then 2122 unified inventory (closes Phase 2, non-spend) and the cost-gated OpenAI extractor A.",.worklog/entries/2026-08-12_geo-context-eval-and-blinding_07897f20.md,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/07897f20-64ad-4328-86b7-248c0674d9ef.jsonl,skill
2026-08-12T14:19:25,2026-08-12,be982f6a-0cfa-49fa-a1ab-8c78c1db73a6,be982f6a,(unlogged -- auto-captured on clear),,"We can do a few things here: 1. Let's add to the context/prompt for all sub-agents that in FY2009 there was a national waiver and that the group_action should be ""statewide"". This will eventually get dropped deterministi | merge this branch back onto main fna_rebuild (then merge that back onto main) and then /worklog with a commit. | Base directory for this skill: /Users/joshuaylevy/.claude/skills/worklog # /worklog — record this session for posterity Produce a durable research-record entry for the work done in the current session. Two outputs — a na",unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/be982f6a-0cfa-49fa-a1ab-8c78c1db73a6.jsonl,hook-auto
2026-08-13T18:04:04,2026-08-13,2e85e5c7-b3b6-4046-9c7b-8ccba50e1764,2e85e5c7,"v1_5 spec bump — four adjudications, answer-leak sweep, document-level scoring join",fna-v1-5-adjudications-leak-sweep,"Settled the four open v1_4 gold adjudications from the source PDFs (federal suspension is disposition-based; IA gold corrected; ND Rolette load-bearing in its 20% bundle; 273.24(g) exemptions are not a waiver), then found and removed 11 verbatim corpus examples that had been leaking answers into the extraction prompt and schema. Spec bump 3c73108d -> fe5d1b3c; no re-extraction run.",complete,Phase 3,abawd;fna;extraction;prompt-spec;gold-standard;blinding;validator,master,1e5c30f,1e5c30f,2_scripts/22_extract/222_fna_waivers/2220b_extraction_prompt.txt;2_scripts/22_extract/222_fna_waivers/2220c_schema.json;2_scripts/22_extract/222_fna_waivers/fna_extraction_results.py;2_scripts/22_extract/222_fna_waivers/2225_validate_vs_hand_collected.py;2_scripts/22_extract/222_fna_waivers/2222_extract_claude_protocol.md;Makefile,"Run the v1_5 arm (run_id fe5d1b3c, root claude_v1_5_adjud) over the 9 adjudication docs; consider re-running WI FY2003 + the 5 leak-affected NC docs since their scores were measured under a leaking prompt; Tier 1 (90 docs) now unblocked; 2224 needs the federal_suspension_in_force overlay and a coverage-interval key.",.worklog/entries/2026-08-13_fna-v1-5-adjudications-leak-sweep_2e85e5c7.md,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/2e85e5c7-b3b6-4046-9c7b-8ccba50e1764.jsonl,skill
2026-08-14T00:46:30,2026-08-14,8b396501-c42f-4213-9e0e-fffcfe3fd3be,8b396501,(unlogged -- auto-captured on clear),,"Yes. I want you to a notes/worklog/ convetion let's store it in the @99_misc folder. I also want you to help me build a /worklog ""skill"" (or should it be a hook?) that fires before I run a clear command. This skill shoul | Is there a way to modify the clear command/skill so that it is always preceeded by /worklog? | Okay. Let's skip any attempt and modifying the clear command. Instead I want to try this out. All I need to do is restart the claude session and then run worklog?",unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/8b396501-c42f-4213-9e0e-fffcfe3fd3be.jsonl,hook-auto
2026-08-14T01:39:12,2026-08-14,ab9dc9c9-a733-4924-8c3f-f90b849c454f,ab9dc9c9,(unlogged -- auto-captured on clear),,"Can you revise the Table so that each row is a state? I want columns for #docs, #counties, most recent extraact revision, and some performance metrics. Also what's up with DE having 4/5? | Okay. I want you to do ttwo things: 1) I want you to spawn one /agent that should tier rank those untiered states. (You can ignore DC/GU/VI) 2) I want you to spawn as many sonnet /agents as necessary to run the extractio | I want you to begin writing these ""things for you to decide"" into a .md file somewhere where I can reference them later.",unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/ab9dc9c9-a733-4924-8c3f-f90b849c454f.jsonl,hook-auto
2026-08-14T01:47:51,2026-08-14,03ca5f65-d045-4b46-9d22-fc6c3e92003b,03ca5f65,(unlogged -- auto-captured on clear),,"Approach this as the design lead at a small studio known for their versatility, giving every client a visual identity pitched at the treatment the task actually calls for. Make deliberate choices about palette, typograph | [Request interrupted by user] | I don''t need you to design anything I just want you to show me a table in line with the progress thatt has been made thus far (and other above noted details)",unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/03ca5f65-d045-4b46-9d22-fc6c3e92003b.jsonl,hook-auto
2026-08-14T17:51:55,2026-08-14,95752499-6303-4ffc-aa71-41d6b2e33f16,95752499,(unlogged -- auto-captured on clear),,"4 background agents were stopped by the user: ""Extract ky-abawd-resposne-fy2006"", ""Extract ga-abawd-response-fy2017"", ""Extract ky-abawd-response-fy2016-b"", ""Extract ga-abawd-response-fy2023"". | Please resume any agents that may have been interrupted by usage caps | Please note these things to check in the existing .md file for my future reference",unlogged,,,,,,,,,/Users/joshuaylevy/.claude/projects/-Users-joshuaylevy-Documents-Work-USC-snap/95752499-6303-4ffc-aa71-41d6b2e33f16.jsonl,hook-auto
